Sample Size: 490 timeframes
Average MRE RAW: 7,275.0600
Average MRE SMOOTHED: 0.1925

Timeframe	RAW_MRE	SMOOTH_MRE
2018-09-03 11:45:00	7459.5041	0.1688
2018-09-02 02:45:00	7469.1083	0.0471
2018-09-05 07:45:00	7341.9860	0.2498
2018-09-22 21:15:00	7162.3632	0.1628
2018-09-17 17:15:00	7170.6611	0.3321
2018-09-13 09:30:00	6788.9843	0.4129
2018-09-05 20:30:00	7392.3221	0.1828
2018-09-20 13:45:00	6782.5844	0.4341
2018-09-22 08:45:00	7503.8991	0.1137
2018-09-09 17:00:00	7384.9509	0.1621
2018-09-29 00:15:00	7535.2449	0.0833
2018-09-11 11:45:00	6957.8281	0.3551
2018-09-28 16:15:00	6912.8831	0.4000
2018-09-21 01:00:00	7520.4028	0.0613
2018-09-08 21:30:00	7245.0440	0.1436
2018-09-05 00:15:00	7207.4099	0.0738
2018-09-11 23:45:00	7526.6858	0.0783
2018-09-09 05:30:00	7526.9692	0.0421
2018-09-01 17:45:00	7290.4480	0.1958
2018-09-10 09:15:00	6891.0040	0.3763
2018-09-19 12:00:00	6820.0704	0.3778
2018-09-10 18:30:00	7002.0279	0.3851
2018-09-11 04:30:00	7635.1360	0.0461
2018-09-22 04:15:00	7583.0225	0.0486
2018-09-26 01:00:00	7549.3013	0.0596
2018-09-04 04:00:00	7668.2312	0.0509
2018-09-26 08:15:00	6889.7532	0.3403
2018-09-25 20:30:00	7273.3239	0.1891
2018-09-12 18:30:00	6979.0085	0.3508
2018-09-12 17:30:00	7083.9973	0.3879
2018-09-06 11:45:00	6866.3151	0.3488
2018-09-01 03:30:00	7770.9314	0.0474
2018-09-15 06:15:00	7423.2456	0.0515
2018-09-04 06:15:00	7534.6618	0.0758
2018-09-10 16:30:00	6867.2137	0.3890
2018-09-02 08:30:00	7510.6008	0.0777
2018-09-23 10:15:00	7372.9496	0.1229
2018-09-12 23:15:00	7425.6666	0.1015
2018-09-23 16:30:00	7230.6592	0.2126
2018-09-16 09:30:00	7358.7660	0.1121
2018-09-10 03:30:00	7490.5798	0.0468
2018-09-28 06:45:00	7435.8922	0.1289
2018-09-15 00:30:00	7469.2816	0.0849
2018-09-26 03:00:00	7519.1480	0.0536
2018-09-08 21:15:00	7131.9599	0.1655
2018-09-24 06:00:00	7546.9426	0.0830
2018-09-18 18:00:00	6817.9203	0.4003
2018-09-15 04:15:00	7685.9513	0.0460
2018-09-27 22:00:00	7390.4072	0.1159
2018-09-08 05:15:00	7850.9354	0.0454
2018-09-29 12:30:00	7194.2924	0.2704
2018-09-03 13:45:00	7241.4878	0.1907
2018-09-10 13:00:00	6959.8379	0.3582
2018-09-14 16:45:00	6991.1602	0.3918
2018-09-25 10:15:00	6916.8192	0.3855
2018-09-15 03:45:00	7752.7800	0.0412
2018-09-15 05:00:00	7634.4512	0.0520
2018-09-20 05:45:00	7447.0961	0.0748
2018-09-28 21:00:00	7483.9447	0.1481
2018-09-21 17:15:00	6994.3189	0.4385
2018-09-25 00:15:00	7457.2969	0.0678
2018-09-04 23:30:00	7609.5651	0.0698
2018-09-11 03:15:00	7803.9972	0.0411
2018-09-08 14:00:00	7090.9439	0.2884
2018-09-02 22:00:00	7461.1698	0.1022
2018-09-05 10:00:00	6785.7581	0.3938
2018-09-22 16:15:00	7110.5938	0.2562
2018-09-23 21:00:00	7429.1753	0.1163
2018-09-03 06:30:00	7612.9788	0.0578
2018-09-10 02:45:00	7648.7816	0.0418
2018-09-01 08:45:00	7461.0852	0.1587
2018-09-26 14:45:00	6858.4581	0.3735
2018-09-17 05:45:00	7575.1675	0.0618
2018-09-02 16:45:00	7060.0929	0.1665
2018-09-13 01:30:00	7509.1707	0.0549
2018-09-19 02:45:00	7694.2984	0.0507
2018-09-01 10:30:00	7307.3643	0.1779
2018-09-16 07:00:00	7596.1233	0.0532
2018-09-16 13:15:00	7275.6397	0.1881
2018-09-30 07:45:00	7509.1180	0.0588
2018-09-17 21:45:00	7257.7187	0.1294
2018-09-23 05:00:00	7597.2785	0.0442
2018-09-24 00:15:00	7555.9274	0.0532
2018-09-15 11:00:00	7122.5177	0.2815
2018-09-14 23:45:00	7456.9246	0.0982
2018-09-05 12:00:00	6708.1654	0.3891
2018-09-29 18:15:00	7311.1500	0.1879
2018-09-03 08:00:00	7458.4758	0.1117
2018-09-18 16:00:00	7265.5959	0.1575
2018-09-06 09:15:00	6743.8179	0.4252
2018-09-29 07:30:00	7509.6534	0.0878
2018-09-26 17:45:00	6993.2190	0.3310
2018-09-16 02:30:00	7571.0552	0.0665
2018-09-05 02:30:00	7714.8065	0.0474
2018-09-07 14:15:00	6743.6872	0.3811
2018-09-13 22:00:00	7381.0010	0.1654
2018-09-09 11:30:00	7283.0024	0.1582
2018-09-26 21:45:00	7370.7597	0.1403
2018-09-28 14:30:00	6855.9868	0.3782
2018-09-16 05:15:00	7672.2081	0.0448
2018-09-28 22:15:00	7133.1042	0.2032
2018-09-14 23:00:00	7368.5225	0.1127
2018-09-04 05:00:00	7416.3342	0.0561
2018-09-06 02:00:00	7616.7300	0.0472
2018-09-17 09:30:00	6824.5157	0.3922
2018-09-22 07:00:00	7524.5977	0.0789
2018-09-29 08:30:00	7281.1168	0.1518
2018-09-17 15:15:00	7007.4962	0.3226
2018-09-13 09:45:00	7001.8908	0.3891
2018-09-25 02:45:00	7552.2724	0.0512
2018-09-12 15:15:00	6950.0861	0.4143
2018-09-29 20:45:00	7179.0553	0.1923
2018-09-18 01:00:00	7564.1903	0.0521
2018-09-11 19:30:00	7067.7101	0.2750
2018-09-14 18:45:00	7007.8333	0.3526
2018-09-21 12:45:00	6897.5305	0.3933
2018-09-21 01:15:00	7486.6292	0.0672
2018-09-20 09:00:00	7434.4253	0.1362
2018-09-10 08:15:00	7035.1873	0.2878
2018-09-26 09:30:00	6647.9583	0.4345
2018-09-08 11:30:00	7118.2458	0.2338
2018-09-19 15:15:00	6789.4673	0.3759
2018-09-13 03:15:00	7591.6333	0.0442
2018-09-18 21:00:00	7108.9350	0.2442
2018-09-10 05:30:00	7345.1631	0.0645
2018-09-23 12:30:00	7250.7872	0.1448
2018-09-15 16:00:00	7011.0969	0.2854
2018-09-30 15:15:00	7356.4786	0.2016
2018-09-04 22:00:00	7338.6457	0.1295
2018-09-04 18:45:00	6976.9467	0.3266
2018-09-09 11:00:00	7377.0422	0.1333
2018-09-04 05:45:00	7671.5153	0.0537
2018-09-06 12:00:00	6740.7759	0.4043
2018-09-30 08:00:00	7622.7349	0.0639
2018-09-30 07:30:00	7570.7219	0.0644
2018-09-10 12:15:00	6915.6203	0.3813
