idx,weekday,wd_name,hour,minute,week1,week2,week3,week4,top100_mre,overall_mre
324,2,Wed,18,15,2018-09-05 18:15:00,2018-09-12 18:15:00,2018-09-19 18:15:00,2018-09-26 18:15:00,0.428842,1.054066
325,2,Wed,14,05,2018-09-05 14:05:00,2018-09-12 14:05:00,2018-09-19 14:05:00,2018-09-26 14:05:00,0.401521,1.044661
326,2,Wed,21,40,2018-09-05 21:40:00,2018-09-12 21:40:00,2018-09-19 21:40:00,2018-09-26 21:40:00,0.542279,0.606155
327,2,Wed,7,15,2018-09-05 07:15:00,2018-09-12 07:15:00,2018-09-19 07:15:00,2018-09-26 07:15:00,0.353602,0.585192
328,2,Wed,21,50,2018-09-05 21:50:00,2018-09-12 21:50:00,2018-09-19 21:50:00,2018-09-26 21:50:00,0.519582,0.517339
329,2,Wed,14,20,2018-09-05 14:20:00,2018-09-12 14:20:00,2018-09-19 14:20:00,2018-09-26 14:20:00,0.302062,0.908321
330,2,Wed,1,40,2018-09-05 01:40:00,2018-09-12 01:40:00,2018-09-19 01:40:00,2018-09-26 01:40:00,0.675025,0.230001
331,2,Wed,11,55,2018-09-05 11:55:00,2018-09-12 11:55:00,2018-09-19 11:55:00,2018-09-26 11:55:00,0.285987,0.882393
332,2,Wed,20,20,2018-09-05 20:20:00,2018-09-12 20:20:00,2018-09-19 20:20:00,2018-09-26 20:20:00,0.521471,0.850539
333,2,Wed,21,00,2018-09-05 21:00:00,2018-09-12 21:00:00,2018-09-19 21:00:00,2018-09-26 21:00:00,0.537503,0.649323
334,2,Wed,21,10,2018-09-05 21:10:00,2018-09-12 21:10:00,2018-09-19 21:10:00,2018-09-26 21:10:00,0.535867,0.694707
335,2,Wed,2,25,2018-09-05 02:25:00,2018-09-12 02:25:00,2018-09-19 02:25:00,2018-09-26 02:25:00,0.660444,0.217387
336,2,Wed,13,50,2018-09-05 13:50:00,2018-09-12 13:50:00,2018-09-19 13:50:00,2018-09-26 13:50:00,0.284386,0.998382
337,2,Wed,7,30,2018-09-05 07:30:00,2018-09-12 07:30:00,2018-09-19 07:30:00,2018-09-26 07:30:00,0.401312,0.704153
338,2,Wed,1,10,2018-09-05 01:10:00,2018-09-12 01:10:00,2018-09-19 01:10:00,2018-09-26 01:10:00,0.788770,0.269022
339,2,Wed,17,00,2018-09-05 17:00:00,2018-09-12 17:00:00,2018-09-19 17:00:00,2018-09-26 17:00:00,0.300721,0.986021
340,2,Wed,12,10,2018-09-05 12:10:00,2018-09-12 12:10:00,2018-09-19 12:10:00,2018-09-26 12:10:00,0.359490,0.996816
341,2,Wed,22,55,2018-09-05 22:55:00,2018-09-12 22:55:00,2018-09-19 22:55:00,2018-09-26 22:55:00,0.650900,0.529144
342,2,Wed,18,55,2018-09-05 18:55:00,2018-09-12 18:55:00,2018-09-19 18:55:00,2018-09-26 18:55:00,0.330773,1.003763
343,2,Wed,22,20,2018-09-05 22:20:00,2018-09-12 22:20:00,2018-09-19 22:20:00,2018-09-26 22:20:00,0.600178,0.593132
344,2,Wed,3,50,2018-09-05 03:50:00,2018-09-12 03:50:00,2018-09-19 03:50:00,2018-09-26 03:50:00,0.560370,0.215112
345,2,Wed,2,45,2018-09-05 02:45:00,2018-09-12 02:45:00,2018-09-19 02:45:00,2018-09-26 02:45:00,0.680544,0.167248
346,2,Wed,19,50,2018-09-05 19:50:00,2018-09-12 19:50:00,2018-09-19 19:50:00,2018-09-26 19:50:00,0.368605,0.826598
347,2,Wed,7,55,2018-09-05 07:55:00,2018-09-12 07:55:00,2018-09-19 07:55:00,2018-09-26 07:55:00,0.397994,0.712645
348,2,Wed,1,30,2018-09-05 01:30:00,2018-09-12 01:30:00,2018-09-19 01:30:00,2018-09-26 01:30:00,0.685918,0.219126
349,2,Wed,12,35,2018-09-05 12:35:00,2018-09-12 12:35:00,2018-09-19 12:35:00,2018-09-26 12:35:00,0.363571,0.934828
350,2,Wed,19,30,2018-09-05 19:30:00,2018-09-12 19:30:00,2018-09-19 19:30:00,2018-09-26 19:30:00,0.364885,0.983427
351,2,Wed,11,40,2018-09-05 11:40:00,2018-09-12 11:40:00,2018-09-19 11:40:00,2018-09-26 11:40:00,0.270631,0.915109
352,2,Wed,9,25,2018-09-05 09:25:00,2018-09-12 09:25:00,2018-09-19 09:25:00,2018-09-26 09:25:00,0.328378,0.997159
353,2,Wed,18,05,2018-09-05 18:05:00,2018-09-12 18:05:00,2018-09-19 18:05:00,2018-09-26 18:05:00,0.335223,1.029670
354,2,Wed,4,05,2018-09-05 04:05:00,2018-09-12 04:05:00,2018-09-19 04:05:00,2018-09-26 04:05:00,0.653450,0.167077
355,2,Wed,23,25,2018-09-05 23:25:00,2018-09-12 23:25:00,2018-09-19 23:25:00,2018-09-26 23:25:00,0.583465,0.348888
356,2,Wed,4,45,2018-09-05 04:45:00,2018-09-12 04:45:00,2018-09-19 04:45:00,2018-09-26 04:45:00,0.707109,0.182100
