bin,hour_dec,fair_per_day,ref_W1,ref_W3,ref_W4,ref_mean,ref_std,lift
122,10.166666666666666,131.0,85.33333333333333,106.66666666666667,129.0,107.0,17.828400148410736,24.0
123,10.25,153.66666666666666,121.33333333333333,108.33333333333333,133.66666666666666,121.1111111111111,10.343483664655134,32.55555555555556
124,10.333333333333334,161.66666666666666,122.0,122.66666666666667,111.33333333333333,118.66666666666667,5.1925873091324135,42.999999999999986
125,10.416666666666666,156.33333333333334,105.66666666666667,122.33333333333333,102.66666666666667,110.22222222222223,8.650982959920764,46.111111111111114
126,10.5,137.33333333333334,135.66666666666666,108.0,89.33333333333333,111.0,19.03408249158063,26.333333333333343
127,10.583333333333334,148.66666666666666,132.0,133.66666666666666,111.33333333333333,125.66666666666664,10.158010887235019,23.000000000000014
128,10.666666666666666,127.33333333333333,118.66666666666667,123.0,128.66666666666666,123.44444444444446,4.094561282819612,3.8888888888888715
129,10.75,125.33333333333333,108.33333333333333,96.66666666666667,137.0,114.0,16.94653903265163,11.333333333333329
130,10.833333333333334,133.33333333333334,112.66666666666667,96.0,126.66666666666667,111.77777777777779,12.535382023262628,21.555555555555557
131,10.916666666666666,154.33333333333334,103.33333333333333,80.33333333333333,125.66666666666667,103.1111111111111,18.507922894710344,51.22222222222224
132,11.0,137.33333333333334,101.66666666666667,112.33333333333333,138.33333333333334,117.44444444444446,15.39921434584037,19.888888888888886
133,11.083333333333334,122.0,136.66666666666666,88.66666666666667,132.33333333333334,119.22222222222221,21.67834443134324,2.7777777777777857
134,11.166666666666666,159.33333333333334,125.0,102.66666666666667,141.66666666666666,123.11111111111113,15.977607787690989,36.222222222222214
135,11.25,151.66666666666666,113.0,93.33333333333333,138.66666666666666,115.0,18.561210049954138,36.66666666666666
136,11.333333333333334,163.33333333333334,89.66666666666667,109.66666666666667,131.66666666666666,110.33333333333333,17.152907107024802,53.000000000000014
137,11.416666666666666,128.0,102.33333333333333,95.33333333333333,113.33333333333333,103.66666666666667,7.408703590297622,24.33333333333333
138,11.5,123.66666666666667,162.0,86.66666666666667,142.0,130.22222222222223,31.862358301657615,-6.555555555555557
